uf	municipio	total	quantidade	percentual
AC	ACRELANDIA	455	36	7.91
AC	ASSIS BRASIL	183	10	5.46
AC	BRASILEIA	596	48	8.05
AC	BUJARI	337	25	7.42
AC	CAPIXABA	226	18	7.96
AC	CRUZEIRO DO SUL	5352	304	5.68
AC	EPITACIOLANDIA	434	46	10.60
AC	FEIJO	670	48	7.16
AC	JORDAO	113	2	1.77
AC	MANCIO LIMA	651	33	5.07
AC	MANOEL URBANO	158	7	4.43
AC	MARECHAL THAUMATURGO	358	8	2.23
AC	PLACIDO DE CASTRO	672	54	8.04
AC	PORTO ACRE	595	34	5.71
AC	PORTO WALTER	127	9	7.09
AC	RIBRANCO	1	0	0.00
AC	RIO BRACO	1	0	0.00
AC	RIO BRANCO	30779	2630	8.54
AC	RIO BRANO	1	0	0.00
AC	RODRIGUES ALVES	250	22	8.80
AC	SANTA ROSA DO PURUS	42	5	11.90
AC	SENA MADUREIRA	1431	84	5.87
AC	SENADOR GUIOMARD	1298	93	7.16
AC	TARAUACA	842	76	9.03
AC	XAPURI	717	75	10.46
AL	AGUA BRANCA	705	24	3.40
AL	ANADIA	329	34	10.33
AL	ARAPIRACA	8591	678	7.89
AL	ATALAIA	551	90	16.33
AL	BARRA DE SANTO ANTONIO	253	24	9.49
AL	BARRA DE SAO MIGUEL	156	14	8.97
AL	BATALHA	446	31	6.95
AL	BELEM	117	7	5.98
AL	BELO MONTE	52	3	5.77
AL	BOCA DA MATA	854	102	11.94
AL	BRANQUINHA	95	14	14.74
AL	CACIMBINHAS	131	6	4.58
AL	CAJUEIRO	320	16	5.00
AL	CAMPESTRE	51	13	25.49
AL	CAMPO ALEGRE	677	82	12.11
AL	CAMPO GRANDE	194	17	8.76
AL	CANAPI	225	14	6.22
AL	CAPELA	287	22	7.67
AL	CARNEIROS	87	4	4.60
AL	CHA PRETA	113	10	8.85
AL	COITE DO NOIA	252	20	7.94
AL	COLONIA LEOPOLDINA	315	25	7.94
AL	COQUEIRO SECO	125	12	9.60
AL	CORURIPE	879	79	8.99
AL	CRAIBAS	448	25	5.58
AL	DELMIRO GOUVEIA	1958	145	7.41
AL	DOIS RIACHOS	183	14	7.65
AL	ESTRELA DE ALAGOAS	150	6	4.00
AL	FEIRA GRANDE	411	22	5.35
AL	FELIZ DESERTO	51	8	15.69
AL	FLEXEIRAS	147	18	12.24
AL	GIRAU DO PONCIANO	938	33	3.52
AL	IBATEGUARA	168	22	13.10
AL	IGACI	412	26	6.31
AL	IGREJA NOVA	208	15	7.21
AL	INHAPI	204	7	3.43
AL	JACARE DOS HOMENS	83	10	12.05
AL	JACUIPE	51	7	13.73
AL	JAPARATINGA	71	6	8.45
AL	JARAMATAIA	138	3	2.17
AL	JEQUIA DA PRAIA	160	10	6.25
AL	JOAQUIM GOMES	280	45	16.07
AL	JUNDIA	75	10	13.33
AL	JUNQUEIRO	588	49	8.33
AL	LAGOA DA CANOA	585	35	5.98
AL	LIMOEIRO DE ANADIA	582	37	6.36
AL	MACEIO	41118	5202	12.65
AL	MACIO	1	0	0.00
AL	MAJOR ISIDORO	203	13	6.40
AL	MAR VERMELHO	137	2	1.46
AL	MARAGOGI	331	46	13.90
AL	MARAVILHA	251	10	3.98
AL	MARECHAL DEODORO	923	129	13.98
AL	MARIBONDO	349	30	8.60
AL	MATA GRANDE	170	14	8.24
AL	MATRIZ DE CAMARAGIBE	449	63	14.03
AL	MESSIAS	383	69	18.02
AL	MINADOR DO NEGRAO	58	3	5.17
AL	MONTEIROPOLIS	85	10	11.76
AL	MURICI	620	87	14.03
AL	NOVO LINO	95	5	5.26
AL	OLHO D AGUA DAS FLORES	339	27	7.96
AL	OLHO D AGUA DO CASADO	133	14	10.53
AL	OLHO D AGUA GRANDE	78	1	1.28
AL	OLIVENCA	119	5	4.20
AL	OURO BRANCO	193	10	5.18
AL	PALESTINA	70	18	25.71
AL	PALMEIRA DOS INDIOS	2143	182	8.49
AL	PAO DE ACUCAR	341	57	16.72
AL	PARICONHA	284	11	3.87
AL	PARIPUEIRA	296	34	11.49
AL	PASSO DE CAMARAGIBE	168	19	11.31
AL	PAULO JACINTO	245	16	6.53
AL	PENEDO	1566	188	12.01
AL	PIACABUCU	282	23	8.16
AL	PILAR	667	69	10.34
AL	PINDOBA	68	12	17.65
AL	PIRANHAS	537	71	13.22
AL	POCO DAS TRINCHEIRAS	123	6	4.88
AL	PORTO CALVO	400	54	13.50
AL	PORTO DE PEDRAS	105	13	12.38
AL	PORTO REAL DO COLEGIO	360	46	12.78
AL	QUEBRANGULO	294	32	10.88
AL	RIO LARGO	2372	269	11.34
AL	ROTEIRO	50	4	8.00
AL	SANTA LUZIA DO NORTE	214	24	11.21
AL	SANTANA DO IPANEMA	1018	61	5.99
AL	SANTANA DO MUDAU	1	0	0.00
AL	SANTANA DO MUNDAU	185	14	7.57
AL	SAO BRAS	141	13	9.22
AL	SAO JOSE DA LAJE	502	43	8.57
AL	SAO JOSE DA TAPERA	453	30	6.62
AL	SAO LUIS DO QUITUNDE	475	65	13.68
AL	SAO MIGUEL DOS CAMPOS	1375	166	12.07
AL	SAO MIGUEL DOS MILAGRES	60	13	21.67
AL	SAO SEBASTIAO	576	35	6.08
AL	SATUBA	351	46	13.11
AL	SENADOR RUI PALMEIRA	115	8	6.96
AL	TANQUE D ARCA	105	5	4.76
AL	TAQUARANA	426	29	6.81
AL	TEOTONIO VILELA	877	75	8.55
AL	TRAIPU	411	52	12.65
AL	UNIAO DOS PALMARES	1667	239	14.34
AL	VICOSA	879	59	6.71
AM	ALVARAES	151	4	2.65
AM	AMATURA	240	1	0.42
AM	ANAMA	115	5	4.35
AM	ANORI	154	9	5.84
AM	APUI	236	19	8.05
AM	ATALAIA DO NORTE	52	2	3.85
AM	AUTAZES	456	7	1.54
AM	BARCELOS	217	10	4.61
AM	BARREIRINHA	488	4	0.82
AM	BENJAMIN CONSTANT	596	9	1.51
AM	BERURI	209	9	4.31
AM	BOA VISTA DO RAMOS	265	6	2.26
AM	BOCA DO ACRE	559	28	5.01
AM	BORBA	387	12	3.10
AM	CAAPIRANGA	74	2	2.70
AM	CANUTAMA	284	6	2.11
AM	CARAUARI	189	6	3.17
AM	CAREIRO	428	14	3.27
AM	CAREIRO DA VARZEA	154	5	3.25
AM	COARI	1147	62	5.41
AM	CODAJAS	262	12	4.58
AM	EIRUNEPE	586	39	6.66
AM	ENVIRA	129	7	5.43
AM	FONTE BOA	253	12	4.74
AM	GUAJARA	303	10	3.30
AM	HUMAITA	853	61	7.15
AM	IPIXUNA	218	8	3.67
AM	IRANDUBA	675	35	5.19
AM	ITACOATIARA	2507	111	4.43
AM	ITAMARATI	94	6	6.38
AM	ITAPIRANGA	187	4	2.14
AM	JAPURA	44	3	6.82
AM	JURUA	32	3	9.38
AM	JUTAI	158	5	3.16
AM	LABREA	738	34	4.61
AM	MANACAPURU	2712	120	4.42
AM	MANAQUIRI	169	5	2.96
AM	MANAUS	102836	6728	6.54
AM	MANICORE	629	22	3.50
AM	MARAA	143	3	2.10
AM	MAUES	770	25	3.25
AM	NHAMUNDA	408	12	2.94
AM	NOVA OLINDA DO NORTE	308	8	2.60
AM	NOVO AIRAO	191	19	9.95
AM	NOVO ARIPUANA	344	8	2.33
AM	PARINTINS	3953	122	3.09
AM	PAUINI	146	6	4.11
AM	PRESIDENTE FIGUEIREDO	1141	89	7.80
AM	RIO PRETO DA EVA	389	35	9.00
AM	SANTA ISABEL DO RIO NEGRO	175	2	1.14
AM	SANTO ANTONIO DO ICA	252	5	1.98
AM	SAO GABRIEL DA CACHOEIRA	837	15	1.79
AM	SAO PAULO DE OLIVENCA	229	0	0.00
AM	SAO SEBASTIAO DO UATUMA	146	3	2.05
AM	SILVES	152	0	0.00
AM	TABATINGA	693	29	4.18
AM	TAPAUA	538	29	5.39
AM	TEFE	1265	57	4.51
AM	TONANTINS	196	3	1.53
AM	UARINI	142	2	1.41
AM	URUCARA	354	6	1.69
AM	URUCURITUBA	238	5	2.10
AP	AMAPA	183	24	13.11
AP	ANTANA	1	1	100.00
AP	CALCOENE	99	13	13.13
AP	CUTIAS	44	8	18.18
AP	FERREIRA GOMES	85	8	9.41
AP	ITAUBAL	41	4	9.76
AP	LARANJAL DO JARI	1119	111	9.92
AP	MACAPA	16636	2260	13.58
AP	MAZAGAO	206	31	15.05
AP	OIAPOQUE	351	33	9.40
AP	PEDRA BRANCA DO AMAPARI	101	14	13.86
AP	PORTO GRANDE	262	16	6.11
AP	PRACUUBA	23	6	26.09
AP	SANTANA	6213	621	10.00
AP	SERRA DO NAVIO	44	4	9.09
AP	TARTARUGALZINHO	154	16	10.39
AP	VITORIA DO JARI	201	21	10.45
BA	ABAIRA	167	8	4.79
BA	ABARE	377	66	17.51
BA	ACAJUTIBA	324	70	21.60
BA	ADUSTINA	318	50	15.72
BA	AGUA FRIA	357	143	40.06
BA	AIQUARA	119	33	27.73
BA	ALAGOINHAS	5005	1455	29.07
BA	ALCOBACA	469	148	31.56
BA	ALMADINA	209	59	28.23
BA	AMARGOSA	2119	724	34.17
BA	AMELIA RODRIGUES	638	282	44.20
BA	AMERICA DOURADA	245	47	19.18
BA	ANAGE	333	29	8.71
BA	ANDARAI	119	29	24.37
BA	ANDORINHA	257	19	7.39
BA	ANGICAL	200	39	19.50
BA	ANGUERA	211	86	40.76
BA	ANTAS	156	8	5.13
BA	ANTONIO CARDOSO	163	84	51.53
