uf	municipio	total	quantidade	percentual
AC	ACRELANDIA	455	114	25.05
AC	ASSIS BRASIL	183	37	20.22
AC	BRASILEIA	596	104	17.45
AC	BUJARI	337	55	16.32
AC	CAPIXABA	226	29	12.83
AC	CRUZEIRO DO SUL	5352	1092	20.40
AC	EPITACIOLANDIA	434	77	17.74
AC	FEIJO	670	164	24.48
AC	JORDAO	113	17	15.04
AC	MANCIO LIMA	651	99	15.21
AC	MANOEL URBANO	158	28	17.72
AC	MARECHAL THAUMATURGO	358	39	10.89
AC	PLACIDO DE CASTRO	672	99	14.73
AC	PORTO ACRE	595	107	17.98
AC	PORTO WALTER	127	24	18.90
AC	RIBRANCO	1	0	0.00
AC	RIO BRACO	1	0	0.00
AC	RIO BRANCO	30779	6477	21.04
AC	RIO BRANO	1	0	0.00
AC	RODRIGUES ALVES	250	38	15.20
AC	SANTA ROSA DO PURUS	42	7	16.67
AC	SENA MADUREIRA	1431	274	19.15
AC	SENADOR GUIOMARD	1298	192	14.79
AC	TARAUACA	842	196	23.28
AC	XAPURI	717	103	14.37
AL	AGUA BRANCA	705	90	12.77
AL	ANADIA	329	96	29.18
AL	ARAPIRACA	8591	2623	30.53
AL	ATALAIA	551	122	22.14
AL	BARRA DE SANTO ANTONIO	253	52	20.55
AL	BARRA DE SAO MIGUEL	156	31	19.87
AL	BATALHA	446	137	30.72
AL	BELEM	117	35	29.91
AL	BELO MONTE	52	23	44.23
AL	BOCA DA MATA	854	207	24.24
AL	BRANQUINHA	95	21	22.11
AL	CACIMBINHAS	131	45	34.35
AL	CAJUEIRO	320	91	28.44
AL	CAMPESTRE	51	13	25.49
AL	CAMPO ALEGRE	677	154	22.75
AL	CAMPO GRANDE	194	42	21.65
AL	CANAPI	225	49	21.78
AL	CAPELA	287	74	25.78
AL	CARNEIROS	87	23	26.44
AL	CHA PRETA	113	48	42.48
AL	COITE DO NOIA	252	92	36.51
AL	COLONIA LEOPOLDINA	315	90	28.57
AL	COQUEIRO SECO	125	23	18.40
AL	CORURIPE	879	206	23.44
AL	CRAIBAS	448	110	24.55
AL	DELMIRO GOUVEIA	1958	543	27.73
AL	DOIS RIACHOS	183	25	13.66
AL	ESTRELA DE ALAGOAS	150	31	20.67
AL	FEIRA GRANDE	411	118	28.71
AL	FELIZ DESERTO	51	6	11.76
AL	FLEXEIRAS	147	31	21.09
AL	GIRAU DO PONCIANO	938	108	11.51
AL	IBATEGUARA	168	52	30.95
AL	IGACI	412	153	37.14
AL	IGREJA NOVA	208	41	19.71
AL	INHAPI	204	48	23.53
AL	JACARE DOS HOMENS	83	15	18.07
AL	JACUIPE	51	15	29.41
AL	JAPARATINGA	71	21	29.58
AL	JARAMATAIA	138	42	30.43
AL	JEQUIA DA PRAIA	160	29	18.13
AL	JOAQUIM GOMES	280	54	19.29
AL	JUNDIA	75	14	18.67
AL	JUNQUEIRO	588	176	29.93
AL	LAGOA DA CANOA	585	112	19.15
AL	LIMOEIRO DE ANADIA	582	175	30.07
AL	MACEIO	41118	12380	30.11
AL	MACIO	1	0	0.00
AL	MAJOR ISIDORO	203	74	36.45
AL	MAR VERMELHO	137	40	29.20
AL	MARAGOGI	331	82	24.77
AL	MARAVILHA	251	73	29.08
AL	MARECHAL DEODORO	923	211	22.86
AL	MARIBONDO	349	83	23.78
AL	MATA GRANDE	170	48	28.24
AL	MATRIZ DE CAMARAGIBE	449	94	20.94
AL	MESSIAS	383	56	14.62
AL	MINADOR DO NEGRAO	58	18	31.03
AL	MONTEIROPOLIS	85	20	23.53
AL	MURICI	620	142	22.90
AL	NOVO LINO	95	19	20.00
AL	OLHO D AGUA DAS FLORES	339	84	24.78
AL	OLHO D AGUA DO CASADO	133	32	24.06
AL	OLHO D AGUA GRANDE	78	19	24.36
AL	OLIVENCA	119	38	31.93
AL	OURO BRANCO	193	77	39.90
AL	PALESTINA	70	8	11.43
AL	PALMEIRA DOS INDIOS	2143	709	33.08
AL	PAO DE ACUCAR	341	44	12.90
AL	PARICONHA	284	57	20.07
AL	PARIPUEIRA	296	54	18.24
AL	PASSO DE CAMARAGIBE	168	18	10.71
AL	PAULO JACINTO	245	88	35.92
AL	PENEDO	1566	313	19.99
AL	PIACABUCU	282	72	25.53
AL	PILAR	667	142	21.29
AL	PINDOBA	68	13	19.12
AL	PIRANHAS	537	114	21.23
AL	POCO DAS TRINCHEIRAS	123	17	13.82
AL	PORTO CALVO	400	85	21.25
AL	PORTO DE PEDRAS	105	19	18.10
AL	PORTO REAL DO COLEGIO	360	62	17.22
AL	QUEBRANGULO	294	64	21.77
AL	RIO LARGO	2372	543	22.89
AL	ROTEIRO	50	7	14.00
AL	SANTA LUZIA DO NORTE	214	39	18.22
AL	SANTANA DO IPANEMA	1018	362	35.56
AL	SANTANA DO MUDAU	1	1	100.00
AL	SANTANA DO MUNDAU	185	67	36.22
AL	SAO BRAS	141	38	26.95
AL	SAO JOSE DA LAJE	502	160	31.87
AL	SAO JOSE DA TAPERA	453	79	17.44
AL	SAO LUIS DO QUITUNDE	475	95	20.00
AL	SAO MIGUEL DOS CAMPOS	1375	307	22.33
AL	SAO MIGUEL DOS MILAGRES	60	7	11.67
AL	SAO SEBASTIAO	576	264	45.83
AL	SATUBA	351	71	20.23
AL	SENADOR RUI PALMEIRA	115	28	24.35
AL	TANQUE D ARCA	105	25	23.81
AL	TAQUARANA	426	87	20.42
AL	TEOTONIO VILELA	877	168	19.16
AL	TRAIPU	411	71	17.27
AL	UNIAO DOS PALMARES	1667	425	25.49
AL	VICOSA	879	283	32.20
AM	ALVARAES	151	5	3.31
AM	AMATURA	240	9	3.75
AM	ANAMA	115	12	10.43
AM	ANORI	154	33	21.43
AM	APUI	236	79	33.47
AM	ATALAIA DO NORTE	52	13	25.00
AM	AUTAZES	456	70	15.35
AM	BARCELOS	217	31	14.29
AM	BARREIRINHA	488	36	7.38
AM	BENJAMIN CONSTANT	596	43	7.21
AM	BERURI	209	21	10.05
AM	BOA VISTA DO RAMOS	265	5	1.89
AM	BOCA DO ACRE	559	168	30.05
AM	BORBA	387	30	7.75
AM	CAAPIRANGA	74	7	9.46
AM	CANUTAMA	284	53	18.66
AM	CARAUARI	189	26	13.76
AM	CAREIRO	428	43	10.05
