uf	municipio	total	quantidade	percentual
AC	ACRELANDIA	455	0	0.00
AC	ASSIS BRASIL	183	0	0.00
AC	BRASILEIA	596	3	0.50
AC	BUJARI	337	4	1.19
AC	CAPIXABA	226	1	0.44
AC	CRUZEIRO DO SUL	5352	33	0.62
AC	EPITACIOLANDIA	434	3	0.69
AC	FEIJO	670	23	3.43
AC	JORDAO	113	0	0.00
AC	MANCIO LIMA	651	9	1.38
AC	MANOEL URBANO	158	3	1.90
AC	MARECHAL THAUMATURGO	358	6	1.68
AC	PLACIDO DE CASTRO	672	5	0.74
AC	PORTO ACRE	595	4	0.67
AC	PORTO WALTER	127	1	0.79
AC	RIBRANCO	1	0	0.00
AC	RIO BRACO	1	0	0.00
AC	RIO BRANCO	30779	192	0.62
AC	RIO BRANO	1	0	0.00
AC	RODRIGUES ALVES	250	2	0.80
AC	SANTA ROSA DO PURUS	42	2	4.76
AC	SENA MADUREIRA	1431	1	0.07
AC	SENADOR GUIOMARD	1298	2	0.15
AC	TARAUACA	842	12	1.43
AC	XAPURI	717	2	0.28
AL	AGUA BRANCA	705	4	0.57
AL	ANADIA	329	3	0.91
AL	ARAPIRACA	8591	48	0.56
AL	ATALAIA	551	2	0.36
AL	BARRA DE SANTO ANTONIO	253	1	0.40
AL	BARRA DE SAO MIGUEL	156	5	3.21
AL	BATALHA	446	3	0.67
AL	BELEM	117	0	0.00
AL	BELO MONTE	52	0	0.00
AL	BOCA DA MATA	854	3	0.35
AL	BRANQUINHA	95	0	0.00
AL	CACIMBINHAS	131	2	1.53
AL	CAJUEIRO	320	0	0.00
AL	CAMPESTRE	51	0	0.00
AL	CAMPO ALEGRE	677	1	0.15
AL	CAMPO GRANDE	194	3	1.55
AL	CANAPI	225	0	0.00
AL	CAPELA	287	2	0.70
AL	CARNEIROS	87	0	0.00
AL	CHA PRETA	113	4	3.54
AL	COITE DO NOIA	252	2	0.79
AL	COLONIA LEOPOLDINA	315	3	0.95
AL	COQUEIRO SECO	125	0	0.00
AL	CORURIPE	879	4	0.46
AL	CRAIBAS	448	2	0.45
AL	DELMIRO GOUVEIA	1958	11	0.56
AL	DOIS RIACHOS	183	0	0.00
AL	ESTRELA DE ALAGOAS	150	0	0.00
AL	FEIRA GRANDE	411	6	1.46
AL	FELIZ DESERTO	51	0	0.00
AL	FLEXEIRAS	147	1	0.68
AL	GIRAU DO PONCIANO	938	0	0.00
AL	IBATEGUARA	168	1	0.60
AL	IGACI	412	3	0.73
AL	IGREJA NOVA	208	3	1.44
AL	INHAPI	204	11	5.39
AL	JACARE DOS HOMENS	83	0	0.00
AL	JACUIPE	51	4	7.84
AL	JAPARATINGA	71	0	0.00
AL	JARAMATAIA	138	0	0.00
AL	JEQUIA DA PRAIA	160	1	0.63
AL	JOAQUIM GOMES	280	17	6.07
AL	JUNDIA	75	0	0.00
AL	JUNQUEIRO	588	1	0.17
AL	LAGOA DA CANOA	585	2	0.34
AL	LIMOEIRO DE ANADIA	582	0	0.00
AL	MACEIO	41118	345	0.84
AL	MACIO	1	0	0.00
AL	MAJOR ISIDORO	203	0	0.00
AL	MAR VERMELHO	137	0	0.00
AL	MARAGOGI	331	2	0.60
AL	MARAVILHA	251	0	0.00
AL	MARECHAL DEODORO	923	7	0.76
AL	MARIBONDO	349	2	0.57
AL	MATA GRANDE	170	2	1.18
AL	MATRIZ DE CAMARAGIBE	449	2	0.45
AL	MESSIAS	383	3	0.78
AL	MINADOR DO NEGRAO	58	0	0.00
AL	MONTEIROPOLIS	85	0	0.00
AL	MURICI	620	16	2.58
AL	NOVO LINO	95	0	0.00
AL	OLHO D AGUA DAS FLORES	339	0	0.00
AL	OLHO D AGUA DO CASADO	133	1	0.75
AL	OLHO D AGUA GRANDE	78	1	1.28
AL	OLIVENCA	119	1	0.84
AL	OURO BRANCO	193	0	0.00
AL	PALESTINA	70	0	0.00
AL	PALMEIRA DOS INDIOS	2143	49	2.29
AL	PAO DE ACUCAR	341	3	0.88
AL	PARICONHA	284	48	16.90
AL	PARIPUEIRA	296	1	0.34
AL	PASSO DE CAMARAGIBE	168	1	0.60
AL	PAULO JACINTO	245	1	0.41
AL	PENEDO	1566	17	1.09
AL	PIACABUCU	282	2	0.71
AL	PILAR	667	7	1.05
AL	PINDOBA	68	0	0.00
AL	PIRANHAS	537	5	0.93
AL	POCO DAS TRINCHEIRAS	123	0	0.00
AL	PORTO CALVO	400	3	0.75
AL	PORTO DE PEDRAS	105	2	1.90
AL	PORTO REAL DO COLEGIO	360	27	7.50
AL	QUEBRANGULO	294	2	0.68
AL	RIO LARGO	2372	20	0.84
AL	ROTEIRO	50	0	0.00
AL	SANTA LUZIA DO NORTE	214	3	1.40
AL	SANTANA DO IPANEMA	1018	7	0.69
AL	SANTANA DO MUDAU	1	0	0.00
AL	SANTANA DO MUNDAU	185	1	0.54
AL	SAO BRAS	141	1	0.71
AL	SAO JOSE DA LAJE	502	6	1.20
AL	SAO JOSE DA TAPERA	453	0	0.00
AL	SAO LUIS DO QUITUNDE	475	5	1.05
AL	SAO MIGUEL DOS CAMPOS	1375	8	0.58
AL	SAO MIGUEL DOS MILAGRES	60	0	0.00
AL	SAO SEBASTIAO	576	7	1.22
AL	SATUBA	351	2	0.57
AL	SENADOR RUI PALMEIRA	115	0	0.00
AL	TANQUE D ARCA	105	0	0.00
AL	TAQUARANA	426	1	0.23
AL	TEOTONIO VILELA	877	7	0.80
AL	TRAIPU	411	1	0.24
AL	UNIAO DOS PALMARES	1667	16	0.96
AL	VICOSA	879	1	0.11
AM	ALVARAES	151	6	3.97
AM	AMATURA	240	15	6.25
AM	ANAMA	115	4	3.48
AM	ANORI	154	0	0.00
AM	APUI	236	0	0.00
AM	ATALAIA DO NORTE	52	1	1.92
AM	AUTAZES	456	34	7.46
AM	BARCELOS	217	19	8.76
AM	BARREIRINHA	488	15	3.07
AM	BENJAMIN CONSTANT	596	219	36.74
AM	BERURI	209	0	0.00
AM	BOA VISTA DO RAMOS	265	0	0.00
AM	BOCA DO ACRE	559	9	1.61
AM	BORBA	387	10	2.58
AM	CAAPIRANGA	74	1	1.35
AM	CANUTAMA	284	1	0.35
AM	CARAUARI	189	2	1.06
AM	CAREIRO	428	7	1.64
AM	CAREIRO DA VARZEA	154	0	0.00
AM	COARI	1147	8	0.70
AM	CODAJAS	262	2	0.76
AM	EIRUNEPE	586	6	1.02
AM	ENVIRA	129	0	0.00
AM	FONTE BOA	253	0	0.00
AM	GUAJARA	303	4	1.32
AM	HUMAITA	853	8	0.94
AM	IPIXUNA	218	2	0.92
AM	IRANDUBA	675	8	1.19
AM	ITACOATIARA	2507	12	0.48
AM	ITAMARATI	94	2	2.13
AM	ITAPIRANGA	187	0	0.00
AM	JAPURA	44	5	11.36
AM	JURUA	32	0	0.00
AM	JUTAI	158	3	1.90
AM	LABREA	738	8	1.08
AM	MANACAPURU	2712	11	0.41
AM	MANAQUIRI	169	1	0.59
AM	MANAUS	102836	1156	1.12
AM	MANICORE	629	14	2.23
AM	MARAA	143	0	0.00
AM	MAUES	770	6	0.78
AM	NHAMUNDA	408	3	0.74
AM	NOVA OLINDA DO NORTE	308	6	1.95
AM	NOVO AIRAO	191	5	2.62
AM	NOVO ARIPUANA	344	1	0.29
AM	PARINTINS	3953	27	0.68
AM	PAUINI	146	5	3.42
AM	PRESIDENTE FIGUEIREDO	1141	11	0.96
AM	RIO PRETO DA EVA	389	4	1.03
AM	SANTA ISABEL DO RIO NEGRO	175	96	54.86
AM	SANTO ANTONIO DO ICA	252	58	23.02
AM	SAO GABRIEL DA CACHOEIRA	837	610	72.88
AM	SAO PAULO DE OLIVENCA	229	12	5.24
AM	SAO SEBASTIAO DO UATUMA	146	0	0.00
AM	SILVES	152	1	0.66
AM	TABATINGA	693	43	6.20
AM	TAPAUA	538	8	1.49
AM	TEFE	1265	16	1.26
AM	TONANTINS	196	2	1.02
AM	UARINI	142	3	2.11
AM	URUCARA	354	1	0.28
AM	URUCURITUBA	238	0	0.00
AP	AMAPA	183	0	0.00
AP	ANTANA	1	0	0.00
AP	CALCOENE	99	0	0.00
AP	CUTIAS	44	2	4.55
AP	FERREIRA GOMES	85	0	0.00
AP	ITAUBAL	41	0	0.00
AP	LARANJAL DO JARI	1119	4	0.36
AP	MACAPA	16636	99	0.60
AP	MAZAGAO	206	0	0.00
AP	OIAPOQUE	351	10	2.85
AP	PEDRA BRANCA DO AMAPARI	101	0	0.00
AP	PORTO GRANDE	262	2	0.76
AP	PRACUUBA	23	0	0.00
AP	SANTANA	6213	32	0.52
AP	SERRA DO NAVIO	44	0	0.00
AP	TARTARUGALZINHO	154	2	1.30
AP	VITORIA DO JARI	201	3	1.49
BA	ABAIRA	167	2	1.20
BA	ABARE	377	10	2.65
BA	ACAJUTIBA	324	3	0.93
BA	ADUSTINA	318	1	0.31
BA	AGUA FRIA	357	0	0.00
BA	AIQUARA	119	0	0.00
BA	ALAGOINHAS	5005	38	0.76
BA	ALCOBACA	469	3	0.64
