uf	municipio	total	quantidade	percentual
AC	ACRELANDIA	455	12	2.64
AC	ASSIS BRASIL	183	6	3.28
AC	BRASILEIA	596	12	2.01
AC	BUJARI	337	8	2.37
AC	CAPIXABA	226	10	4.42
AC	CRUZEIRO DO SUL	5352	128	2.39
AC	EPITACIOLANDIA	434	9	2.07
AC	FEIJO	670	28	4.18
AC	JORDAO	113	1	0.88
AC	MANCIO LIMA	651	17	2.61
AC	MANOEL URBANO	158	4	2.53
AC	MARECHAL THAUMATURGO	358	8	2.23
AC	PLACIDO DE CASTRO	672	15	2.23
AC	PORTO ACRE	595	19	3.19
AC	PORTO WALTER	127	3	2.36
AC	RIBRANCO	1	0	0.00
AC	RIO BRACO	1	0	0.00
AC	RIO BRANCO	30779	932	3.03
AC	RIO BRANO	1	0	0.00
AC	RODRIGUES ALVES	250	8	3.20
AC	SANTA ROSA DO PURUS	42	0	0.00
AC	SENA MADUREIRA	1431	11	0.77
AC	SENADOR GUIOMARD	1298	26	2.00
AC	TARAUACA	842	31	3.68
AC	XAPURI	717	26	3.63
AL	AGUA BRANCA	705	1	0.14
AL	ANADIA	329	17	5.17
AL	ARAPIRACA	8591	225	2.62
AL	ATALAIA	551	21	3.81
AL	BARRA DE SANTO ANTONIO	253	11	4.35
AL	BARRA DE SAO MIGUEL	156	7	4.49
AL	BATALHA	446	13	2.91
AL	BELEM	117	4	3.42
AL	BELO MONTE	52	0	0.00
AL	BOCA DA MATA	854	29	3.40
AL	BRANQUINHA	95	4	4.21
AL	CACIMBINHAS	131	3	2.29
AL	CAJUEIRO	320	2	0.63
AL	CAMPESTRE	51	1	1.96
AL	CAMPO ALEGRE	677	25	3.69
AL	CAMPO GRANDE	194	0	0.00
AL	CANAPI	225	4	1.78
AL	CAPELA	287	9	3.14
AL	CARNEIROS	87	1	1.15
AL	CHA PRETA	113	1	0.88
AL	COITE DO NOIA	252	4	1.59
AL	COLONIA LEOPOLDINA	315	14	4.44
AL	COQUEIRO SECO	125	3	2.40
AL	CORURIPE	879	43	4.89
AL	CRAIBAS	448	4	0.89
AL	DELMIRO GOUVEIA	1958	24	1.23
AL	DOIS RIACHOS	183	2	1.09
AL	ESTRELA DE ALAGOAS	150	3	2.00
AL	FEIRA GRANDE	411	9	2.19
AL	FELIZ DESERTO	51	2	3.92
AL	FLEXEIRAS	147	4	2.72
AL	GIRAU DO PONCIANO	938	8	0.85
AL	IBATEGUARA	168	11	6.55
AL	IGACI	412	12	2.91
AL	IGREJA NOVA	208	7	3.37
AL	INHAPI	204	4	1.96
AL	JACARE DOS HOMENS	83	2	2.41
AL	JACUIPE	51	1	1.96
AL	JAPARATINGA	71	9	12.68
AL	JARAMATAIA	138	1	0.72
AL	JEQUIA DA PRAIA	160	8	5.00
AL	JOAQUIM GOMES	280	9	3.21
AL	JUNDIA	75	2	2.67
AL	JUNQUEIRO	588	13	2.21
AL	LAGOA DA CANOA	585	10	1.71
AL	LIMOEIRO DE ANADIA	582	9	1.55
AL	MACEIO	41118	1415	3.44
AL	MACIO	1	0	0.00
AL	MAJOR ISIDORO	203	6	2.96
AL	MAR VERMELHO	137	1	0.73
AL	MARAGOGI	331	11	3.32
AL	MARAVILHA	251	4	1.59
AL	MARECHAL DEODORO	923	32	3.47
AL	MARIBONDO	349	9	2.58
AL	MATA GRANDE	170	2	1.18
AL	MATRIZ DE CAMARAGIBE	449	16	3.56
AL	MESSIAS	383	25	6.53
AL	MINADOR DO NEGRAO	58	1	1.72
AL	MONTEIROPOLIS	85	4	4.71
AL	MURICI	620	32	5.16
AL	NOVO LINO	95	3	3.16
AL	OLHO D AGUA DAS FLORES	339	4	1.18
AL	OLHO D AGUA DO CASADO	133	9	6.77
AL	OLHO D AGUA GRANDE	78	1	1.28
AL	OLIVENCA	119	1	0.84
AL	OURO BRANCO	193	9	4.66
AL	PALESTINA	70	3	4.29
AL	PALMEIRA DOS INDIOS	2143	63	2.94
AL	PAO DE ACUCAR	341	8	2.35
AL	PARICONHA	284	4	1.41
AL	PARIPUEIRA	296	11	3.72
AL	PASSO DE CAMARAGIBE	168	8	4.76
AL	PAULO JACINTO	245	4	1.63
AL	PENEDO	1566	46	2.94
AL	PIACABUCU	282	10	3.55
AL	PILAR	667	23	3.45
AL	PINDOBA	68	1	1.47
AL	PIRANHAS	537	19	3.54
AL	POCO DAS TRINCHEIRAS	123	2	1.63
AL	PORTO CALVO	400	26	6.50
AL	PORTO DE PEDRAS	105	2	1.90
AL	PORTO REAL DO COLEGIO	360	13	3.61
AL	QUEBRANGULO	294	9	3.06
AL	RIO LARGO	2372	96	4.05
AL	ROTEIRO	50	1	2.00
AL	SANTA LUZIA DO NORTE	214	10	4.67
AL	SANTANA DO IPANEMA	1018	17	1.67
AL	SANTANA DO MUDAU	1	0	0.00
AL	SANTANA DO MUNDAU	185	5	2.70
AL	SAO BRAS	141	1	0.71
AL	SAO JOSE DA LAJE	502	24	4.78
AL	SAO JOSE DA TAPERA	453	9	1.99
AL	SAO LUIS DO QUITUNDE	475	12	2.53
AL	SAO MIGUEL DOS CAMPOS	1375	65	4.73
AL	SAO MIGUEL DOS MILAGRES	60	5	8.33
AL	SAO SEBASTIAO	576	10	1.74
AL	SATUBA	351	13	3.70
AL	SENADOR RUI PALMEIRA	115	3	2.61
AL	TANQUE D ARCA	105	2	1.90
AL	TAQUARANA	426	10	2.35
AL	TEOTONIO VILELA	877	41	4.68
AL	TRAIPU	411	13	3.16
AL	UNIAO DOS PALMARES	1667	92	5.52
AL	VICOSA	879	10	1.14
AM	ALVARAES	151	1	0.66
AM	AMATURA	240	0	0.00
AM	ANAMA	115	1	0.87
AM	ANORI	154	1	0.65
AM	APUI	236	4	1.69
AM	ATALAIA DO NORTE	52	2	3.85
AM	AUTAZES	456	2	0.44
AM	BARCELOS	217	2	0.92
AM	BARREIRINHA	488	4	0.82
AM	BENJAMIN CONSTANT	596	2	0.34
AM	BERURI	209	1	0.48
AM	BOA VISTA DO RAMOS	265	0	0.00
AM	BOCA DO ACRE	559	10	1.79
AM	BORBA	387	4	1.03
AM	CAAPIRANGA	74	2	2.70
AM	CANUTAMA	284	0	0.00
AM	CARAUARI	189	2	1.06
AM	CAREIRO	428	5	1.17
AM	CAREIRO DA VARZEA	154	2	1.30
AM	COARI	1147	19	1.66
AM	CODAJAS	262	0	0.00
AM	EIRUNEPE	586	3	0.51
AM	ENVIRA	129	1	0.78
AM	FONTE BOA	253	0	0.00
AM	GUAJARA	303	5	1.65
AM	HUMAITA	853	13	1.52
AM	IPIXUNA	218	3	1.38
AM	IRANDUBA	675	15	2.22
AM	ITACOATIARA	2507	15	0.60
AM	ITAMARATI	94	1	1.06
AM	ITAPIRANGA	187	0	0.00
AM	JAPURA	44	0	0.00
AM	JURUA	32	0	0.00
AM	JUTAI	158	1	0.63
AM	LABREA	738	2	0.27
AM	MANACAPURU	2712	22	0.81
AM	MANAQUIRI	169	0	0.00
AM	MANAUS	102836	2521	2.45
AM	MANICORE	629	5	0.79
AM	MARAA	143	1	0.70
AM	MAUES	770	5	0.65
AM	NHAMUNDA	408	0	0.00
AM	NOVA OLINDA DO NORTE	308	1	0.32
AM	NOVO AIRAO	191	0	0.00
AM	NOVO ARIPUANA	344	2	0.58
AM	PARINTINS	3953	29	0.73
AM	PAUINI	146	0	0.00
AM	PRESIDENTE FIGUEIREDO	1141	13	1.14
AM	RIO PRETO DA EVA	389	13	3.34
AM	SANTA ISABEL DO RIO NEGRO	175	3	1.71
AM	SANTO ANTONIO DO ICA	252	1	0.40
AM	SAO GABRIEL DA CACHOEIRA	837	11	1.31
AM	SAO PAULO DE OLIVENCA	229	0	0.00
AM	SAO SEBASTIAO DO UATUMA	146	0	0.00
AM	SILVES	152	0	0.00
AM	TABATINGA	693	12	1.73
AM	TAPAUA	538	2	0.37
AM	TEFE	1265	12	0.95
AM	TONANTINS	196	1	0.51
AM	UARINI	142	1	0.70
AM	URUCARA	354	0	0.00
AM	URUCURITUBA	238	2	0.84
AP	AMAPA	183	7	3.83
AP	ANTANA	1	0	0.00
AP	CALCOENE	99	1	1.01
AP	CUTIAS	44	1	2.27
AP	FERREIRA GOMES	85	0	0.00
AP	ITAUBAL	41	1	2.44
AP	LARANJAL DO JARI	1119	24	2.14
AP	MACAPA	16636	351	2.11
AP	MAZAGAO	206	0	0.00
AP	OIAPOQUE	351	10	2.85
AP	PEDRA BRANCA DO AMAPARI	101	9	8.91
AP	PORTO GRANDE	262	2	0.76
AP	PRACUUBA	23	2	8.70
AP	SANTANA	6213	77	1.24
AP	SERRA DO NAVIO	44	1	2.27
AP	TARTARUGALZINHO	154	1	0.65
AP	VITORIA DO JARI	201	6	2.99
BA	ABAIRA	167	2	1.20
BA	ABARE	377	10	2.65
BA	ACAJUTIBA	324	0	0.00
BA	ADUSTINA	318	13	4.09
BA	AGUA FRIA	357	10	2.80
BA	AIQUARA	119	1	0.84
BA	ALAGOINHAS	5005	131	2.62
BA	ALCOBACA	469	12	2.56
BA	ALMADINA	209	8	3.83
BA	AMARGOSA	2119	26	1.23
BA	AMELIA RODRIGUES	638	9	1.41
BA	AMERICA DOURADA	245	13	5.31
BA	ANAGE	333	12	3.60
BA	ANDARAI	119	5	4.20
BA	ANDORINHA	257	6	2.33
BA	ANGICAL	200	7	3.50
BA	ANGUERA	211	1	0.47
BA	ANTAS	156	4	2.56
BA	ANTONIO CARDOSO	163	1	0.61
BA	ANTONIO GONCALVES	336	29	8.63
BA	APORA	203	5	2.46
BA	APUAREMA	158	2	1.27
BA	ARACAS	306	6	1.96
BA	ARACATU	222	1	0.45
BA	ARACI	483	14	2.90
BA	ARAMARI	178	3	1.69
BA	ARATACA	169	1	0.59
BA	ARATUIPE	82	0	0.00
BA	AURELINO LEAL	271	6	2.21
BA	BAIANOPOLIS	180	11	6.11
BA	BAIXA GRANDE	449	10	2.23
BA	BANZAE	118	0	0.00
BA	BARRA	326	6	1.84
BA	BARRA DA ESTIVA	563	14	2.49
BA	BARRA DO CHOCA	753	30	3.98
BA	BARRA DO MENDES	367	6	1.63
BA	BARRA DO ROCHA	136	4	2.94
BA	BARREIRAS	5533	201	3.63
BA	BARRO ALTO	269	11	4.09
BA	BARRO PRETO	184	2	1.09
BA	BARROCAS	158	4	2.53
BA	BELMONTE	125	1	0.80
BA	BELO CAMPO	321	6	1.87
BA	BIRITINGA	175	1	0.57
BA	BOA NOVA	228	2	0.88
BA	BOA VISTA DO TUPIM	223	6	2.69
BA	BOM JESUS DA LAPA	1282	29	2.26
BA	BOM JESUS DA SERRA	167	1	0.60
BA	BONINAL	167	0	0.00
BA	BONITO	323	6	1.86
BA	BOQUIRA	452	13	2.88
BA	BOTUPORA	319	2	0.63
BA	BREJOES	574	9	1.57
BA	BREJOLANDIA	101	0	0.00
BA	BROTAS DE MACAUBAS	224	2	0.89
BA	BRUMADO	2243	20	0.89
BA	BUERAREMA	450	13	2.89
BA	BURITIRAMA	93	4	4.30
BA	CAATIBA	109	6	5.50
BA	CABACEIRAS DO PARAGUACU	394	10	2.54
BA	CACHOEIRA	1472	28	1.90
BA	CACULE	815	25	3.07
BA	CAEM	150	5	3.33
BA	CAETANOS	94	2	2.13
BA	CAETITE	1683	29	1.72
BA	CAFARNAUM	267	3	1.12
BA	CAIRU	131	2	1.53
BA	CALDEIRAO GRANDE	317	8	2.52
BA	CAMACAN	987	12	1.22
BA	CAMACARI	7341	228	3.11
BA	CAMAMU	623	22	3.53
BA	CAMPO ALEGRE DE LOURDES	314	6	1.91
BA	CAMPO FORMOSO	1577	73	4.63
BA	CANAPOLIS	93	1	1.08
BA	CANARANA	473	19	4.02
