uf	municipio	total	quantidade	percentual
AC	ACRELANDIA	455	286	62.86
AC	ASSIS BRASIL	183	118	64.48
AC	BRASILEIA	596	420	70.47
AC	BUJARI	337	238	70.62
AC	CAPIXABA	226	158	69.91
AC	CRUZEIRO DO SUL	5352	3671	68.59
AC	EPITACIOLANDIA	434	286	65.90
AC	FEIJO	670	391	58.36
AC	JORDAO	113	75	66.37
AC	MANCIO LIMA	651	479	73.58
AC	MANOEL URBANO	158	103	65.19
AC	MARECHAL THAUMATURGO	358	287	80.17
AC	PLACIDO DE CASTRO	672	489	72.77
AC	PORTO ACRE	595	401	67.39
AC	PORTO WALTER	127	90	70.87
AC	RIBRANCO	1	1	100.00
AC	RIO BRACO	1	1	100.00
AC	RIO BRANCO	30779	19873	64.57
AC	RIO BRANO	1	1	100.00
AC	RODRIGUES ALVES	250	177	70.80
AC	SANTA ROSA DO PURUS	42	28	66.67
AC	SENA MADUREIRA	1431	1019	71.21
AC	SENADOR GUIOMARD	1298	964	74.27
AC	TARAUACA	842	519	61.64
AC	XAPURI	717	495	69.04
AL	AGUA BRANCA	705	581	82.41
AL	ANADIA	329	172	52.28
AL	ARAPIRACA	8591	4825	56.16
AL	ATALAIA	551	304	55.17
AL	BARRA DE SANTO ANTONIO	253	155	61.26
AL	BARRA DE SAO MIGUEL	156	96	61.54
AL	BATALHA	446	255	57.17
AL	BELEM	117	69	58.97
AL	BELO MONTE	52	25	48.08
AL	BOCA DA MATA	854	502	58.78
AL	BRANQUINHA	95	55	57.89
AL	CACIMBINHAS	131	75	57.25
AL	CAJUEIRO	320	209	65.31
AL	CAMPESTRE	51	24	47.06
AL	CAMPO ALEGRE	677	408	60.27
AL	CAMPO GRANDE	194	130	67.01
AL	CANAPI	225	157	69.78
AL	CAPELA	287	178	62.02
AL	CARNEIROS	87	58	66.67
AL	CHA PRETA	113	48	42.48
AL	COITE DO NOIA	252	134	53.17
AL	COLONIA LEOPOLDINA	315	175	55.56
AL	COQUEIRO SECO	125	85	68.00
AL	CORURIPE	879	526	59.84
