id	qtdtotal	qtdamarelo	qtdindigeno	qtdpreto	qtdpardo	qtdbranco	qtdcota	prcamarelo	prcindigeno	prcpreto	prcpardo	prcbranco	prccota
1	455	12	0	36	286	114	114	2.64	0.00	7.91	62.86	25.05	70.77
2	183	6	0	10	118	37	37	3.28	0.00	5.46	64.48	20.22	69.95
3	596	12	3	48	420	104	104	2.01	0.50	8.05	70.47	17.45	79.03
4	337	8	4	25	238	55	55	2.37	1.19	7.42	70.62	16.32	79.23
5	226	10	1	18	158	29	29	4.42	0.44	7.96	69.91	12.83	78.32
6	5352	128	33	304	3671	1092	1092	2.39	0.62	5.68	68.59	20.40	74.89
7	434	9	3	46	286	77	77	2.07	0.69	10.60	65.90	17.74	77.19
8	670	28	23	48	391	164	164	4.18	3.43	7.16	58.36	24.48	68.96
9	113	1	0	2	75	17	17	0.88	0.00	1.77	66.37	15.04	68.14
10	651	17	9	33	479	99	99	2.61	1.38	5.07	73.58	15.21	80.03
11	158	4	3	7	103	28	28	2.53	1.90	4.43	65.19	17.72	71.52
12	358	8	6	8	287	39	39	2.23	1.68	2.23	80.17	10.89	84.08
13	672	15	5	54	489	99	99	2.23	0.74	8.04	72.77	14.73	81.55
14	595	19	4	34	401	107	107	3.19	0.67	5.71	67.39	17.98	73.78
15	127	3	1	9	90	24	24	2.36	0.79	7.09	70.87	18.90	78.74
16	1	0	0	0	1	0	0	0.00	0.00	0.00	100.00	0.00	100.00
17	1	0	0	0	1	0	0	0.00	0.00	0.00	100.00	0.00	100.00
18	30779	932	192	2630	19873	6477	6477	3.03	0.62	8.54	64.57	21.04	73.74
19	1	0	0	0	1	0	0	0.00	0.00	0.00	100.00	0.00	100.00
20	250	8	2	22	177	38	38	3.20	0.80	8.80	70.80	15.20	80.40
21	42	0	2	5	28	7	7	0.00	4.76	11.90	66.67	16.67	83.33
22	1431	11	1	84	1019	274	274	0.77	0.07	5.87	71.21	19.15	77.15
